epoch,Recon_U,Recon_L,SemiSup,Disc_Cat,Gen_Cat,Disc_Sty,Gen_Sty
1,0.07909179478883743,0.08034892827272415,2.738324320316315,1.163251492381096,0.7452576369047165,1.1339043378829956,0.6365046292543411
2,0.06796271353960037,0.06763832680881024,2.2953295707702637,0.26470548547804357,2.0578242570161818,0.7450798481702805,0.7262960851192475
3,0.06522690039128065,0.06444258261471987,2.415772223472595,0.008749378065112978,5.647298645973206,0.5683219328522682,1.0825756758451461
4,0.06316224746406078,0.06304269917309284,2.3923137307167055,0.004356391908368095,6.7179999351501465,0.2865264303982258,1.7628817558288574
5,0.06000559441745281,0.05948920492082834,3.0578406691551208,0.0878977332264185,5.925406193733215,0.1383377568796277,3.4073987007141113
6,0.05805127490311861,0.057820822671055795,3.9636584877967835,0.23153771087527275,4.830167961120606,0.15804422535002233,6.358586597442627
7,0.05666653793305158,0.05645608250051737,4.122624003887177,0.22399782463908197,5.250753569602966,0.21597101651132106,7.472248554229736
8,0.054433833435177804,0.05426561422646046,3.8771399974823,0.15491167604923248,6.520982313156128,0.2303093582391739,5.483167314529419
9,0.05249079316854477,0.05270159877836704,3.407848072052002,0.1401775499805808,8.11943814754486,0.6369398310780525,5.151312899589539
10,0.0526326896622777,0.05234318543225527,2.172259420156479,0.07596157975494862,8.629105305671692,0.8422192707657814,5.380694842338562
11,0.05242663249373436,0.05216017607599497,1.9368059873580932,0.13325536400079727,9.952913284301758,1.3578764468431472,4.908164405822754
12,0.05077626369893551,0.051129833608865735,1.8024960517883302,0.20116725489497184,9.052232122421264,0.8393923372030259,2.4088748931884765
13,0.04976963773369789,0.050211204774677755,1.664466667175293,0.1804441399872303,9.435271787643433,0.4173061639070511,3.2426899552345274
14,0.04970457181334496,0.04902601838111877,1.6334173858165741,0.2147702969610691,9.99781379699707,1.1989594519138336,2.7904268741607665
15,0.047283648140728475,0.047275444492697716,1.524210911989212,0.2971356764435768,9.652004623413086,1.196153700351715,4.27483617067337
16,0.04748781770467758,0.04691076893359423,1.2644045293331145,0.3043853431940079,9.618115139007568,0.7410254001617431,4.614353275299072
17,0.0465577132999897,0.04582513179630041,0.9792014837265015,0.4345348492264748,8.61972804069519,0.5689273029565811,3.088018834590912
18,0.04691170956939459,0.04656303878873587,0.8618145704269409,0.6250801026821137,7.164701461791992,1.7479261815547944,5.154880690574646
19,0.0444047812372446,0.04397352077066898,0.8576677426695823,0.6813219577074051,7.166147255897522,1.9253595769405365,5.930057299137116
20,0.044610919803380965,0.04487115498632192,0.748050794005394,0.6530147284269333,7.45225350856781,1.228925985097885,9.934828686714173
21,0.0439132260158658,0.043824723549187185,0.9042032986879349,0.6985862970352172,6.498378944396973,0.46276591494679453,7.1179228782653805
22,0.04274579398334026,0.04336920939385891,0.711225563287735,0.6854480415582657,7.177455639839172,1.5138602033257484,8.585872864723205
23,0.04393607154488564,0.04343161284923554,0.5876376926898956,0.6538928508758545,7.5253325462341305,3.050890493392944,10.570879673957824
24,0.04163572490215302,0.04170104470103979,0.4630744755268097,0.7735014319419861,6.774351501464844,1.8155839055776597,4.492839944362641
25,0.04075831491500139,0.040577908791601655,0.42100081741809847,0.9100736379623413,5.545478820800781,1.3182148218154908,3.8768646121025085
26,0.03940064776688814,0.039473102614283564,0.3795947559177876,1.0291851818561555,4.504276418685913,1.7768586933612824,3.7011778712272645
27,0.038759369775652884,0.03931824136525393,0.31185535043478013,1.1083803534507752,3.9083064794540405,1.5980887502431869,2.3375507056713105
28,0.038347162492573264,0.038075662404298785,0.30138333328068256,1.1442421853542328,3.645348870754242,0.7702636778354645,2.6020627081394196
29,0.03715472836047411,0.037156001292169095,0.2891957897692919,1.1379365563392638,3.4134020686149595,1.7585069462656975,1.498545977473259
30,0.03587258756160736,0.035939712822437284,0.24876445457339286,1.166213148832321,3.1996007323265077,1.9865525364875793,1.5349737852811813
31,0.03550077248364687,0.03482427187263966,0.23222211971879006,1.2067992091178894,2.9601271986961364,1.3274692952632905,1.098160344362259
32,0.03423149362206459,0.03403013814240694,0.21609198600053786,1.1962228417396545,2.6925948023796082,1.115983122587204,1.176222413778305
33,0.03382923882454634,0.033451639395207164,0.20627974634990096,1.2068693518638611,2.563915711641312,1.3945655703544617,1.1459977149963378
34,0.03347815135493874,0.032795243058353664,0.17979596853256224,1.2188923835754395,2.5004557371139526,1.2965164959430695,1.3173035800457
35,0.03210653085261583,0.03201774461194873,0.17066206149756907,1.2309590995311737,2.3929363965988157,1.2518278121948243,1.0394731879234314
36,0.03176270173862576,0.03138726213946939,0.16106392480432988,1.2522746443748474,2.268348675966263,1.4133906185626983,0.678785702586174
37,0.03126016026362777,0.03064515572041273,0.13334478251636028,1.2585540890693665,2.157441282272339,1.2215359270572663,0.9466264545917511
38,0.03018256612122059,0.03022477272897959,0.14143566079437733,1.263838815689087,2.023886239528656,1.3108245790004731,1.0321571558713913
39,0.029919953644275667,0.029611013177782298,0.11136805377900601,1.278767478466034,1.961728537082672,1.2791562497615814,1.0378089636564254
40,0.03009437881410122,0.029173669684678317,0.09740277007222176,1.3124534249305726,1.8757837653160094,1.2715139448642732,1.0396254390478135
41,0.029450892936438322,0.02871467685326934,0.09740252569317817,1.3042183578014375,1.933189707994461,1.2582370460033416,1.00224512219429
42,0.029371040500700475,0.02834661426022649,0.09717428907752038,1.3113966464996338,1.7942227840423584,1.2212052524089814,0.8779355436563492
43,0.029203605093061923,0.02822258323431015,0.11477868854999543,1.2858081877231597,1.7396878004074097,1.4444918513298035,0.9506305068731308
44,0.02896966617554426,0.027888991963118316,0.06395560400560499,1.2866393744945526,1.7876492202281953,1.3217114746570586,1.2609165728092193
45,0.02859441377222538,0.027581577468663455,0.09290986657142639,1.2968177497386932,1.6682885348796845,1.421860283613205,1.0239462971687316
46,0.028053707629442214,0.027314637694507836,0.08603624533861876,1.3016807973384856,1.65705047249794,1.3639901757240296,0.7193570464849472
47,0.027436949592083693,0.02669008830562234,0.08404709622263909,1.3043699145317078,1.554270714521408,1.260776650905609,0.7179429471492768
48,0.02706437259912491,0.026390307955443858,0.07999162320047618,1.3063735365867615,1.5641659319400787,1.3914693117141723,0.9018776923418045
49,0.02761825965717435,0.026270862948149443,0.06978784343227744,1.3012326538562775,1.5645908176898957,1.3914743840694428,0.9700601547956467
50,0.026836777478456496,0.025795748364180325,0.06179272346198559,1.3019435226917266,1.4704904496669768,1.3457214951515197,0.9215300172567368
51,0.026464117225259542,0.025262738205492498,0.06258186053019017,1.3043772757053376,1.431219869852066,1.344355183839798,0.8209986358880996
52,0.026282789651304483,0.025028355140239,0.055461169494083154,1.2955433130264282,1.3818596631288529,1.344111180305481,0.7674027204513549
53,0.026315564289689064,0.024930527620017528,0.050665126321837305,1.2865398228168488,1.4330812990665436,1.355955559015274,0.7323372811079025
